Name,RCB,2020_IFC,2021_IFC,2022_IFC,2023_IFC,2024_IFC,2020_AFC,2021_AFC,2022_AFC,2023_AFC,2024_AFC,2021 Importfixed charge Changes (%),2022 Importfixed charge Changes (%),2023 Importfixed charge Changes (%),2024 Importfixed charge Changes (%)
Felindre,4,4301.78,4400.49,119301.19,76087.06,184989.5,15744.5148,16061.7885,435449.3435,278478.6396,675211.675,2%,2611%,-36%,142%
Timet,2,1061.48,670.59,17013.74,10136.08,25795.04,3885.0168,2447.6535,62100.151,37098.0528,94151.896,-37%,2437%,-40%,154%
Blaen Cregan,0,3.22,3.18,3.11,2.94,4.21,11.7852,11.607,11.3515,10.7604,15.3665,-2%,-2%,-5%,43%
Crymlin Burrows,1,126.94,105.49,103.31,873.98,2455.15,464.6004,385.0385,377.0815,3198.7668,8961.2975,-17%,-2%,748%,180%
Llyn Brianne,0,17.02,15.42,48.75,53.67,66.95,62.2932,56.283,177.9375,196.4322,244.3675,-10%,216%,10%,24%
Maerdy,1,24.42,22.48,23.79,794.71,2331.14,89.3772,82.052,86.8335,2908.6386,8508.661,-8%,6%,3250%,193%
HIRWAUN GE 33kV GEN,1,225.49,76.5,77.46,851.89,2430.97,825.2934,279.225,282.729,3117.9174,8873.0405,-66%,1%,1003%,185%
Pwllfa Gwatkin,1,19.57,19.98,19.54,789.04,2329.05,71.6262,72.927,71.321,2887.8864,8501.0325,2%,-2%,3949%,194%
Trecatti,1,130,108.37,115.03,891.01,2447.07,475.8,395.5505,419.8595,3261.0966,8931.8055,-17%,6%,677%,174%
Parc Cynog,1,3.2,2.5,2.45,771.72,2303.08,11.712,9.125,8.9425,2824.4952,8406.242,-22%,-2%,31485%,198%
Parc Cynog (Pendine),1,34.95,27.45,29.19,799.05,2334.65,127.917,100.1925,106.5435,2924.523,8521.4725,-22%,6%,2645%,191%
Maesgwyn,0,75.19,75.92,110.65,79.35,92.58,275.1954,277.108,403.8725,290.421,337.917,1%,46%,-28%,16%
Ferndale Wind Farm,1,33.6,29.26,30.98,801.71,2339.84,122.976,106.799,113.077,2934.2586,8540.416,-13%,6%,2495%,191%
Pant y Wal WF,0,38.32,37.49,39.69,39.34,45.93,140.2512,136.8385,144.8685,143.9844,167.6445,-2%,6%,-1%,16%
Mynydd Portref,0,14.56,12.27,13.02,13.87,16.88,53.2896,44.7855,47.523,50.7642,61.612,-16%,6%,7%,21%
Newton Down,0,23.98,21.89,23.22,10.83,12.73,87.7668,79.8985,84.753,39.6378,46.4645,-9%,6%,-53%,17%
Hoover,1,458.92,417.03,4175.53,1206.71,2813.46,1679.6472,1522.1595,15240.6845,4416.5586,10269.129,-9%,901%,-71%,133%
Barry Dock Biomass,0,116.08,101.78,107.88,117.61,159.02,424.8528,371.497,393.762,430.4526,580.423,-13%,6%,9%,35%
University Hospital of Wales,2,305.95,278.02,16597.61,9711.93,25298.05,1119.777,1014.773,60581.2765,35545.6638,92337.8825,-9%,5870%,-41%,160%
QuinetiQ,1,152.97,139.01,3879.54,915.13,2470.92,559.8702,507.3865,14160.321,3349.3758,9018.858,-9%,2691%,-76%,169%
Western Coal,1,1740,1353.58,5149.59,2222.42,4117.19,6368.4,4940.567,18796.0035,8134.0572,15027.7435,-22%,280%,-57%,85%
Tregaron,1,1.51,1.38,1.47,770.78,2301.34,5.5266,5.037,5.3655,2821.0548,8399.891,-9%,7%,52478%,198%
Pen Y Cymoedd WF Aux.,1,1722.39,1530.85,5353.59,2551.31,4514.77,6303.9474,5587.6025,19540.6035,9337.7946,16478.9105,-11%,250%,-52%,76%
Maesgwyn Extension PV,0,11.98,0,10.08,10.3,12.18,43.8468,0,36.792,37.698,44.457,-100%,0%,2%,18%
Tata Margam,4,0,0,114642.29,71098.93,178848.93,0,0,418444.3585,260222.0838,652798.5945,0%,0%,-38%,151%
Wear Point WF,0,10.65,9.48,10.04,10.81,13.49,38.979,34.602,36.646,39.5646,49.2385,-11%,6%,8%,24%
West Farm PV,0,7.36,5.8,6.17,6.3,7.44,26.9376,21.17,22.5205,23.058,27.156,-21%,6%,2%,18%
Jordanston Farm PV,0,3.32,2.69,2.86,2.97,3.55,12.1512,9.8185,10.439,10.8702,12.9575,-19%,6%,4%,19%
Dowlais STOR,1,6.25,5.61,5.95,1477.35,3138.11,22.875,20.4765,21.7175,5407.101,11454.1015,-10%,6%,24797%,112%
Llandarcy STOR,0,18.18,14.69,15.61,16.18,19.33,66.5388,53.6185,56.9765,59.2188,70.5545,-19%,6%,4%,19%
Barry STOR,0,28.57,11.97,12.73,12.91,15.16,104.5662,43.6905,46.4645,47.2506,55.334,-58%,6%,2%,17%
Aberystwyth - Manweb,4,0,0,114642.29,71098.93,178848.93,0,0,418444.3585,260222.0838,652798.5945,0%,0%,-38%,151%
Aberaman Park,0,19.76,17.9,18.32,19.18,26.32,72.3216,65.335,66.868,70.1988,96.068,-10%,2%,5%,37%
Dowlais II STOR CVA,0,25.51,22.9,24.28,25.64,31.18,93.3666,83.585,88.622,93.8424,113.807,-10%,6%,6%,21%
BLACKBERRY LANE 33kV,0,11.16,10.27,0,10.51,13.14,40.8456,37.4855,0,38.4666,47.961,-8%,-100%,0%,25%
Bryn Henllys 33kV PV,1,16.03,8.73,9.23,779.21,2312.03,58.6698,31.8645,33.6895,2851.9086,8438.9095,-46%,6%,8365%,196%
FOEL TRWSNANT 66kV,0,57.73,73.32,150.81,202.61,236.37,211.2918,267.618,550.4565,741.5526,862.7505,27%,106%,35%,16%
LLANWERN FM 132kV GEN,0,1.67,1.7,1.78,1.82,2.14,6.1122,6.205,6.497,6.6612,7.811,2%,5%,3%,17%
Longlands Solar Park 33kV PV,0,10.65,10.89,10.76,10.96,12.92,38.979,39.7485,39.274,40.1136,47.158,2%,-1%,2%,18%
MELIN COURT 33kV GEN,0,19.4,17.86,0,0,24.63,71.004,65.189,0,0,89.8995,-8%,-100%,0%,0%
PENCOED STOR 132kV,0,3.29,3.35,3.55,5.58,6.56,12.0414,12.2275,12.9575,20.4228,23.944,2%,6%,58%,17%
PENDERI 132kV GEN,0,15.14,14.81,15.67,15.44,16.21,55.4124,54.0565,57.1955,56.5104,59.1665,-2%,6%,-1%,5%
SOUTHBROOK STOR 33kV GEN,0,6.14,5.46,5.79,6.03,7.27,22.4724,19.929,21.1335,22.0698,26.5355,-11%,6%,4%,20%
